,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
FairValueAdjustmentOfWarrants,,,,,,,,,,,,,,,,,,,,29823.0,6440.0,18333.0,29823.0,865239.0,29823.0,3193462.0,-8985.0,360413.0,-1699000.0,-83000.0,3000000.0,-2387000.0,-300000.0,91000.0,-9053000.0,-110000.0,519000.0,-9053000.0,,,131030.0,,
ImpairmentOfConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13207563.0,,13207563.0,,,,,,,
InterestAccrued,,,,,,,,,,,,,,,,,,,266626.0,85953.0,98023.0,34234.0,266626.0,20575.0,10036.0,34234.0,114633.0,20575.0,,,,,,64534.0,,,,,,,,,
ImpairmentOfLeasedPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184309.0,,0.0,,,,,,,
ConsultingStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,196998.0,,37873.0,174720.0,196998.0,,37873.0,36642.0,36642.0,113044.0,27104.0,122562.0,,,,,,,
OtherExpenses,,,,,,,,,,0.0,,9030.0,176392.0,39008.0,,9030.0,107630.0,0.0,160.0,6722.0,11.0,6106.0,8290.0,5032.0,0.0,8290.0,8752.0,1881.0,0.0,0.0,,7157.0,25900.0,31920.0,,7157.0,52221.0,,,,,,
NonVestedOptionsForfeited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26745.0,0.0,,,,,,,,
ImpairmentOfInventoryRawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,20383366.0,,,,,,,
AmortizationOfDeferredLeasingFees,,,,,,,,,,,,,,,,,,,,,,,,,-28936.0,,,,-9882.0,34000.0,35000.0,27000.0,-9882.0,133000.0,-7626.0,94000.0,87000.0,-7421.0,,-9675.0,-4115.0,,-3897.0
OtherIncome,,,,,,,,,,,,,,0.0,193727.0,0.0,10000.0,138474.0,1177.0,61000.0,309433.0,327.0,0.0,,,,,,,0.0,0.0,,73533.0,19893.0,884584.0,,,,,,,,
UnrealizedGainLossOnInvestments,,,,,,,,,,,,,,-35786.0,93951.0,87929.0,-24996.0,20177.0,-7585.0,-4817.0,-46001.0,-23377.0,-23377.0,0.0,-1254.0,-2386.0,-6506.0,-7293.0,,,,,,-1254.0,,,,,,,,,
TotalAdjustments,,,,,,,,,,,,,,-674000.0,-2145000.0,-559.0,-448000.0,-1842.0,-1453000.0,-448.0,-957000.0,-400000.0,-1571000.0,-394000.0,-563000.0,1177000.0,-1571000.0,-18000.0,-1307000.0,-1054000.0,1592000.0,1592000.0,-711000.0,-1111000.0,-474000.0,-172000.0,-2320000.0,-1878000.0,-1998000.0,-4306000.0,-2320000.0,-2235000.0,-3878000.0
CommonStockIssuedForInterestExpenses,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,103048.0,,24967.0,0.0,,103048.0,4118.0,2402.0,75633.0,4118.0,85.0,0.0,0.0,,,,,,,
CommonSharesIssuedForServicesIncludingRevaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17530.0,-12750.0,-12750.0,-12750.0,17530.0,,,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35590795.0,,0.0,,,,,,,
DeferredLeaseholdInducements,,,,,,,,,,,,,,,,,,-2717.0,-2929.0,-2867.0,1820.0,-2829.0,-2929.0,-2867.0,-2834.0,69244.0,0.0,-16817.0,80167.0,69244.0,-8623.0,-16817.0,-25644.0,-34354.0,3133.0,-17192.0,-26754.0,-735.0,-1458.0,,-4151.0,-1458.0,
InterestExpenseConvertedToCommonStock,,,,,,,,,,,,,,,,,,3555.0,3555.0,0.0,0.0,3555.0,0.0,,0.0,,0.0,,,,,,,14583.0,0.0,14583.0,0.0,14583.0,,,14583.0,,
WriteDownOfAssetsFromInvestmentLossFromDeconsolidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-13279243.0,0.0,,,,-13279243.0,,16567001.0,,,16567001.0,,,,
BadDebtExpense,,,,,,,,,,,,,0.0,,,1771.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,197870.0,,39321.0,140343.0,,149481.0
BadDebts,,,,,,,,,,,,,,,,,,,,7787.0,,0.0,44373.0,0.0,,44666.0,44373.0,,0.0,-13369.0,28258.0,0.0,-2024.0,-13369.0,-15895.0,6503.0,10921.0,-15895.0,14087.0,13991.0,10921.0,14087.0,2094.0
InvestorRelationsExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97000.0,97000.0,97000.0,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,,1981000.0,,,,1981000.0,941000.0,564000.0,0.0,1164000.0,404000.0,1433000.0,-947000.0,-4038000.0,-3687000.0,-138000.0,835000.0,-29850000.0,-3687000.0,-10821000.0,-13340000.0,-29850000.0,-6092000.0,-1706000.0,-29850000.0,-1286000.0,-2151000.0,-1706000.0,260000.0,-2356000.0
CommonSharesIssuedForInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0,1125.0,,,,,,,,
ProductWarrantyExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,65833.0,,,,,,,
OptionsExpense,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,54402.0,295553.0,0.0,43444.0,54402.0,0.0,,,,,,,,
ProfessionalAndContractServicesExpense,,,,,,,,,,,,,,,,,,,,49655.0,22500.0,40700.0,,,,1780866.0,,,,752319.0,0.0,,,105250.0,127300.0,193667.0,,,,,,,
InventoryReserve,,,,,,,,,,,,,,,,,,,0.0,0.0,165165.0,0.0,131655.0,89522.0,164543.0,205994.0,29938.0,26034.0,13180.0,205994.0,-1078.0,8089.0,126660.0,26385.0,5592.0,16522.0,116769.0,-108299.0,16522.0,14660.0,92898.0,1000.0,-6098.0
StockBasedCompensationChargeReversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965000.0,621000.0,,827000.0,635000.0,-68000.0,587000.0,1435000.0,1672000.0,,,,
ImpairmentOfOwnedSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6270.0,,0.0,0.0,4704.0,,,,,,,,,
ForeignCurrencyTransactionGainBeforeTax,,,,,,,,,,,,,499000.0,,,,,,,,,355594.0,-915618.0,,348247.0,304990.0,423000.0,,248371.0,437795.0,267383.0,,7289.0,437795.0,267383.0,,,,,,,,
InterestExpenseRelatedToAmortizationOfCapitalLeaseDiscount,,,,,,,,,,,,,,,,,,,,,,,14294.0,,0.0,51277.0,77029.0,,25524.0,51504.0,77029.0,,25752.0,51504.0,60089.0,60089.0,0.0,60089.0,,,60089.0,,
ImpairmentOfAdvancesToSuppliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
ChangeInFairValueOfConvertibleBonds,,,,,,,,,,,,,,,,,,,,,,,,,379004.0,0.0,0.0,157.0,379.0,705.0,84000.0,157000.0,110000.0,157000.0,84000.0,-14000.0,157000.0,192000.0,,,,,
EquityMethodInvestmentDividendsOrDistributions,,,,,,,,,,,,,-8115.0,,,,,,,,,,,,366000.0,432000.0,,0.0,0.0,,370000.0,370000.0,1187000.0,912000.0,370000.0,370000.0,4111000.0,2165000.0,454000.0,,1318000.0,2125000.0,4111000.0
UnrealizedGainLossOnDerivatives,,,,,,,,,,,,,-1391209.0,-1178000.0,1503000.0,682000.0,942000.0,-1178000.0,-1976000.0,-625000.0,-219000.0,-2892000.0,-176000.0,-625000.0,-219000.0,534000.0,-143000.0,209000.0,515000.0,534000.0,-176000.0,-38000.0,1229000.0,475000.0,-143000.0,302596.0,-867000.0,-465000.0,-1521000.0,400000.0,-2110000.0,-556000.0,406000.0
IncreaseDecreaseIncreaseDecreaseInValueAddedTaxReceivable,,,,,,,,,,,,,,14178.0,161827.0,-151412.0,-156640.0,14178.0,,161827.0,-1096.0,12472.0,,17288.0,-1096.0,4965.0,,-166.0,6910.0,72781.0,6363.0,-166.0,6910.0,5486.0,,6363.0,-19228.0,-9066.0,-7788.0,,1423.0,,
WriteDownOfLongTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,1.0,,,,1.0,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,,,,,,,,,,,919000.0,,0.0,0.0,,,,-2741.0,-4908.0,-93024.0,-143666.0,,,,,,,1804.0,778.0,9656.0,,,,,,,,
FairValueOfContingentConsideration,,,,,,,,,,,,,,,,,,,,-1373000.0,0.0,0.0,,0.0,0.0,0.0,,,1405000.0,1281000.0,,,-204000.0,1281000.0,,2416000.0,2348000.0,,2416000.0,2373000.0,2348000.0,,
InterestExpenseShortTermBorrowings,,,,,,,,,,,,,,,,,52409.0,73525.0,172510.0,6722.0,401453.0,73525.0,172510.0,116105.0,223551.0,341590.0,502000.0,8.0,224.0,342.0,283000.0,323000.0,56000.0,494000.0,283000.0,2447000.0,818000.0,1110000.0,12000.0,58000.0,2856000.0,,
IncreaseDecreaseInAdvancesToSuppliers,,,,,,,,,,,,,,,,,,,,,,113454.0,263397.0,108546.0,,-18066.0,73294.0,-134560.0,-141197.0,-22577.0,-20858.0,-454794.0,-141197.0,90.0,-236268.0,2226.0,,,,,,,
IncreaseDecreaseHarmonizedSalesTaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.0,11462.0,-4422.0,,,,,,,,,
IncreaseDecreaseInIntangibleAssetsCurrent,,,,,,,,,,,,,,,-7984000.0,,,,-358000.0,,,-505000.0,,,,0.0,-15000.0,-1735000.0,-1735000.0,0.0,,-1735000.0,-3723000.0,-8190000.0,,3723000.0,4467000.0,,,,,,
GainLossOnSaleOfCapitalLeasesNet,,,,,,,,,,,,,,,,,0.0,-60323.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,128379.0,0.0,0.0,0.0,0.0,,,,,,,
IncreaseDecreaseInSecurityDeposits,,,,,,,,,,,,9.0,,,,,,,,,,,,-237000.0,0.0,-225000.0,0.0,-226000.0,-3000.0,-218000.0,-506000.0,-202000.0,-18000.0,11000.0,-202000.0,0.0,0.0,-11000.0,,-11000.0,-11000.0,-11000.0,-4000.0
RentContributedByShareholdersAsPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,3000.0,4500.0,,1500.0,1500.0,6000.0,4500.0,6000.0,6000.0,3000.0,,,,,,,
IncreaseDecreaseInAdvanceToSuppliers,,,,,,,,,,,,,46966545.0,49821826.0,,,,,0.0,0.0,0.0,561651.0,,1405.0,115920.0,-113924.0,,-2047730.0,0.0,0.0,,-113924.0,,-6525030.0,,-40950.0,-2915.0,,28286858.0,,,,
IncreaseDecreaseInBillsReceivable,,,,,,,,,,,,,1531856.0,320195.0,,187499.0,-553821.0,320195.0,-805249.0,1893375.0,1865438.0,1063150.0,-805249.0,1035075.0,-443034.0,1063150.0,310379.0,1453908.0,-443034.0,-324956.0,,-1235321.0,1382093.0,1036480.0,,-29761.0,1036480.0,,,,,,
FinancingCostsOnConvertibleNoteExpensed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,6000.0,,,,,,,,,
IncreaseDecreaseInPaymentsInAdvance,,,,,,,,,,,,,-20427.0,46318.0,59503.0,-32550.0,-48131.0,-15886.0,-24408.0,-32550.0,335152.0,250937.0,201104.0,48947.0,335152.0,250937.0,-137376.0,128435.0,398506.0,-35270.0,361468.0,128435.0,398506.0,323623.0,361468.0,177481.0,-81592.0,-4374.0,-83958.0,184889.0,94.0,237787.0,208455.0
IncreaseDecreaseIncreaseDecreaseInPrepaymentsRelatedParty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5856413.0,-742649.0,-6040754.0,5889662.0,,,,,,,
IncreaseDecreaseInCustomerAdvancesAndOtherPayables,,,,,,,,,,,,,,,,,,,,,,-50590.0,58396.0,-476683.0,,-10974.0,5222.0,59389.0,-471798.0,-22130.0,457388.0,462497.0,65815.0,-22130.0,457388.0,462497.0,,,,,,,
OtherNoncashIncomeExpense,,,,,,,,,,,,,322000.0,508000.0,-1215000.0,0.0,173000.0,1630814.0,0.0,0.0,-1372.0,663000.0,0.0,-477000.0,535000.0,1630814.0,-48040.0,88000.0,-56216.0,-343000.0,-190000.0,-280288.0,-292288.0,-343000.0,-990000.0,-1000.0,-55000.0,197000.0,-1000.0,134000.0,-36000.0,-153182.0,101000.0
IncreaseDecreaseInOtherReceivablesPrepaymentsAndDeposits,,,,,,,,,,,,,5542299.0,8086432.0,,2611237.0,5989129.0,7903709.0,3262548.0,858646.0,3469506.0,6478549.0,-2285627.0,858646.0,3469506.0,1916398.0,-2298302.0,600067.0,3783730.0,2080927.0,,111312.0,-65317.0,5634386.0,,-568188.0,3229028.0,,,,,,
ProceedsFromUnsecuredNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,
IncreaseDecreaseInDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.0,17000.0,0.0,0.0,18000.0,27000.0,3000.0,0.0,18000.0,1000.0,1000.0,-1000.0,,,-55862.0,-1000.0,
IncreaseDecreaseInPayablesToCustomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-58444.0,-59069.0,60232.0,24567.0,-58444.0,-24921.0,-35745.0,0.0,0.0,756.0,,,,,
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,,,,,,,-106437.0,,,,-3974205.0,1050685.0,,502686.0,149883.0,-1552997.0,1121747.0,236870.0,149883.0,1453567.0,,1121747.0,5257025.0,27357598.0,,-19423372.0,0.0,7629986.0,,,,6421792.0,,3884058.0,1612931.0,,-2403764.0,,,,
Acquisitionaccountingadjustmentoninventorysold,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11514000.0,1890000.0,,7626000.0,0.0,0.0,,,,,,,,,
ProductWarrantyAccrualPeriodIncreaseDecrease,,,,,,,,,5848.0,25905.0,,,-22967.0,-36796.0,-48200.0,,-61920.0,-13930.0,8382.0,,-21992.0,-13930.0,-19190.0,,3958.0,-6973.0,8040.0,,3958.0,-1591.0,-10429.0,,555.0,6295.0,-2730.0,,-6922.0,-13825.0,,8765.0,-7716.0,,-3462.0
ProceedsFromAdvancesForConstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,640026.0,640026.0,,,,,,,,,
IncreaseDecreaseIncreaseDecreaseLongTermReceivable,,,,,,,,,,,,,0.0,0.0,24553.0,41099.0,-760174.0,122054.0,24553.0,41099.0,74539.0,99790.0,24532.0,50741.0,74386.0,101175.0,26607.0,50741.0,75932.0,100270.0,23732.0,49376.0,78759.0,100270.0,,,,,,,,,
IncreaseDecreaseInWagesPayables,,,,,,,,,,,,,,,,,,,,,,4645.0,131071.0,-84247.0,,-65161.0,-45376.0,-25782.0,-65161.0,85462.0,-64928.0,-19455.0,-48934.0,31755.0,17560.0,56741.0,,,,,,,
IncreaseDecreaseInContractReceivablesNet,,,,,,,,,12085.0,71795.0,,,-295927.0,-107951.0,,23639.0,-607666.0,-120095.0,42541.0,-37909.0,-607666.0,-816963.0,919091.0,-37909.0,-1101044.0,-620371.0,-228621.0,-136022.0,-919821.0,-620371.0,,-228621.0,-1020317.0,-473758.0,,175948.0,-473758.0,,,,,,
IncreaseDecreaseIncreaseDecreaseInAdvanceToSuppliers,,,,,,,,,,,,,,,,,,,,,,0.0,864471.0,,1293030.0,864471.0,129169.0,,-1230294.0,,,,,2020867.0,-1524233.0,-1369080.0,,,,,,,
PaymentsToFundLongtermLoansToRelatedParties,,,,,,,,,,,,,0.0,24659.0,5000.0,0.0,16435.0,0.0,29616.0,24659.0,24659.0,29921.0,13165111.0,,,,14978.0,14780.0,0.0,,14978.0,0.0,,0.0,0.0,,,,,,,,
PaymentsToAcquireAssetsInvestingActivities,,,,,,,,,,,,,,,,,,,0.0,39673000.0,,,0.0,0.0,36458.0,0.0,,4327.0,36458.0,37881.0,60628.0,60628.0,7198.0,0.0,,8920.0,0.0,5152.0,20830.0,,,,
IncreaseDecreaseIncreaseDecreaseInOtherCurrentLiabilitiesShareholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,0.0,0.0,467986.0,623924.0,156109.0,372268.0,540000.0,,,,,,,
IncreaseDecreaseInDueToOtherRelatedParties,,,,,,,,,,,,35987.0,,49395.0,75879.0,-26769.0,54039.0,45435.0,0.0,174083.0,155100.0,45435.0,470912.0,-77292.0,90878.0,333190.0,472000.0,-77.0,91.0,84.0,353000.0,286000.0,493000.0,523000.0,1142000.0,-89000.0,-820000.0,-105000.0,-668000.0,62000.0,424000.0,,
PaymentsToAcquireReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,132701.0,,140737.0,,,,
PaymentsForPurchaseOfOtherAssets1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2868.0,4023.0,0.0,,7161.0,4023.0,24600.0,,,,,,,,
AdvancesToWhitetop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783620.0,0.0,,,,,,,,,
PaymentsForProceedsFromInvestments1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151003000.0,151003000.0,151003000.0,151003000.0,,,,,,
IncreaseDecreaseInAccruedTaxesPayable,,,,,,,,,,931.0,,,939000.0,422662.0,-2025570.0,839000.0,-197651.0,-2002434.0,119991.0,-492554.0,-371000.0,-489557.0,2395000.0,-1751000.0,-46908.0,152725.0,-4760000.0,41611.0,86679.0,-3600000.0,121903.0,1031000.0,9575.0,14807000.0,-4918.0,356311.0,,,,,,,
LoansToEquityAccountedInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10044000.0,12044000.0,,72846000.0,10044000.0,10635000.0,10635000.0,,10635000.0,,12044000.0,,
IncreaseDecreaseIncreaseDecreaseInAdvancePaymentOnAccountOfGrant,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1296616.0,496365.0,110678.0,451000.0,388.0,-87.0,50.0,451000.0,2855000.0,-87000.0,2358000.0,499000.0,2855000.0,2358000.0,2156000.0,68000.0,-878000.0,815000.0,,
ProceedsFromExerciseOfStockOptionsAndWarrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3016774.0,0.0,0.0,,,,,,,,,
ProceedsFromIncreaseInCapitalLease,,,,,,,,,,,,,,,,,,,,,,,,,,,,7694.0,,,,,,7694.0,,,,,,,,,
PaymentsForLoans,,,,,,,,,572000.0,0.0,,0.0,0.0,572000.0,,572000.0,0.0,572000.0,69338.0,530000.0,20000.0,1129064.0,69338.0,176354.0,0.0,200000.0,200000.0,,,,,,,0.0,,,,,,,,,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,1690474.0,0.0,1690474.0,0.0,6782445.0,0.0,6842281.0,770000.0,0.0,6782445.0,770000.0,0.0,0.0,0.0,160300.0,,,1737000.0,3500000.0,,97494.0,,97494.0,,,,
ShareIssuanceForTheDebtSettlement,,,,,,,,,,,,,,,,,,,,,,,,,155383.0,,,,155383.0,104781.0,104781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,-35000.0,0.0,,,129000.0,0.0,-34329.0,-4364090.0,0.0,0.0,27805.0,546326.0,27805.0,1489.0,-4364090.0,-570000.0,29000.0,484000.0,63736.0,0.0,0.0,-700000.0,-700000.0,-110000.0,-700000.0,0.0,154000.0,-110000.0,61000.0,-700000.0,-146000.0,-389000.0,61000.0,,-41000.0
ProceedsFromShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,90000.0,
IncreaseDecreaseInCustomerAdvances,,,,,,,,,-38957.0,0.0,,0.0,-1391310.0,4172981.0,,-1329076.0,,,18905.0,740933.0,29855.0,715600.0,0.0,,0.0,-1355150.0,585525.0,1598944.0,584580.0,-5213700.0,-5213700.0,-5213700.0,-6056247.0,-6056247.0,607097.0,-5213700.0,,,,,,,
ProceedFromRepaymentOfInvestmentsNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59948.0,43985.0,43836.0,,,,,,,,
NetProceedsFromWarrantsExercised,,,,,,,,,,,,,,,,,,,,216100.0,0.0,1156246.0,1156246.0,0.0,0.0,1156246.0,,,,,,,17340.0,17341.0,,0.0,3500.0,,12000.0,,3500.0,,
AdvancesFromInvestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9847644.0,,0.0,-2056706.0,,0.0,0.0,,,,,,
IncreaseDecreaseInOtherDeferredLiability,,,,,,,,,,,,,,,,,,,,,,,,,,83388.0,-83388.0,-83388.0,,83388.0,-83388.0,-74767.0,26832.0,0.0,26832.0,-93601.0,,,,,,,
PaymentsForProceedsFromShortTermInvestments,,,,,,,,,,,,,531.0,783.0,10002.0,-1226000.0,387.0,5833799.0,10002.0,10002.0,9533591.0,-4057500.0,0.0,-9082534.0,15000.0,0.0,0.0,1455727.0,-378000.0,0.0,5236000.0,0.0,12.0,3952000.0,3952000.0,0.0,17.0,11.0,1469000.0,7.0,1177518.0,1.0,3.0
LongTermBorrowingsUtilized,,,,,,,,,,,,,,,,,,,,,,,1081000.0,798000.0,,1097000.0,1081000.0,798000.0,,247000.0,711000.0,2107000.0,,247000.0,247000.0,521000.0,113157000.0,11004000.0,3609000.0,,113157000.0,14798000.0,14798000.0
ProceedsFromRevolvingFinancing,,,,,,,,,,,,,,,,,,,,83348.0,129486.0,0.0,75432.0,,159527.0,13894.0,83348.0,,-34005.0,13894.0,141061.0,,70532.0,87918.0,56747.0,960810.0,17576.0,58966.0,,582822.0,582822.0,,-3015907.0
NetProceedsFromSubscriptionsReceived,,,,,,,,,,,,,,845063.0,2109513.0,2109514.0,2109514.0,100400.0,100399.0,100400.0,2007408.0,3956374.0,151000.0,92392.0,2007408.0,98237.0,,92392.0,98237.0,220602.0,97651.0,0.0,69301.0,446670.0,100893.0,246618.0,583907.0,100893.0,306925.0,,144036.0,46975.0,144036.0
AdvancesFromFormerSubsidiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2056706.0,,2367179.0,2056706.0,,,,,,
ProceedsFromSaleOfPumpAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,0.0,25000.0,0.0,,,,,,,,
LoanMadeToThirdParty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,975743.0,,0.0,1742110.0,1742110.0,,0.0,0.0,,,,,,
ProceedsFromSaleOfShortTermInvestments,,,,,,,,,,0.0,,,0.0,665037.0,,0.0,0.0,0.0,4596000.0,0.0,665092.0,665092.0,9264000.0,270019.0,159615.0,0.0,,1354349.0,0.0,,-250000.0,0.0,7763372.0,0.0,1652000.0,9166881.0,2735000.0,4718000.0,1515000.0,1908000.0,5190000.0,581000.0,1450000.0
ProceedsFromRepaymentsOfSecuredDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28493000.0,,-26669000.0,-45141000.0,-28493000.0,-8716000.0,-30881000.0,-60967000.0,,-10260000.0,,
LoansToRelatedParties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857761.0,383825.0,440679.0,,0.0,782941.0,,,,,,
RepaymentFromOthers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2112475.0,0.0,,2112475.0,2112475.0,,,,,,
RepaymentsFromRelatedParties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1589691.0,122410.0,156097.0,,99778.0,481072.0,,,,,,
RepaymentOfBankOverdraft,,,,,,,,,,,,,,,,,,,,,23335000.0,,,,23335000.0,,,,23335000.0,,,,,2952000.0,14343000.0,56993000.0,62925000.0,245726000.0,502823000.0,,184829000.0,605253000.0,62925000.0
RepaymentsOfOtherShortTermDebt,,,,,,,,,,,,,,128884.0,,0.0,,128884.0,6829.0,0.0,20554868.0,0.0,4729686.0,1503378.0,20554868.0,3246000.0,0.0,4728377.0,3258000.0,,76540.0,0.0,77068.0,76540.0,0.0,6402906.0,0.0,40357.0,0.0,40357.0,40357.0,40357.0,
PaymentsToAcquireOtherProductiveAssets,,,,,,,,,,,,,,,,,,271996.0,270447.0,,,,,,0.0,1528.0,,,,,,,,-179628.0,-176055.0,32319.0,,,,,,,
PurchaseOfPropertyAndEquipmentOnAccount,,,,,,,,,,,,,,723398.0,28664837.0,20131980.0,1956976.0,6008629.0,6008629.0,398596.0,1956976.0,1066271.0,84208.0,86579.0,301602.0,425529.0,84208.0,86579.0,63321.0,8230.0,450342.0,803144.0,348544.0,618494.0,450342.0,,,,,,,,
ProceedsFromSubscriptionPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975.0,0.0,0.0,,0.0,0.0,,178200.0,,,4600.0,
SharesIssuedToSettleRelatedPartyDebt,,,,,,,,,,,,,,,,,,,,,,64000.0,,,85000.0,,,,85000.0,,0.0,14000.0,,7000.0,0.0,16400.0,,,,,,,
SharesIssuedForPrepaidServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,,0.0,7000.0,,0.0,7000.0,0.0,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,,,,,,,,,-204000.0,0.0,,,,,,-280636.0,0.0,0.0,-422629.0,,,,,,,,,,,-29.0,-395.0,-354.0,-617.0,-29.0,-25832.0,0.0,,,,,,,
EquipmentAcquiredThroughCapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,,,21150.0,,,,0.0,,,,0.0,0.0,,,,,,,,
PaymentsOfDividendsMinorityInterest,,,,,,,,,,,,5204.0,5589920.0,4379016.0,7120693.0,31267.0,63348.0,90032.0,117248.0,13304947.0,13328948.0,89221.0,117248.0,1024000.0,1024000.0,15048334.0,3462589.0,1024000.0,2102658.0,3462589.0,3462589.0,613000.0,2511484.0,555000.0,58000.0,613000.0,1729000.0,278000.0,4085000.0,,1729000.0,0.0,4104000.0
ProceedsFromRepaymentsOfAdvancesFromRelatedParties,,,,,,,,,,,,,,,,,,,,,,,,,,-690009.0,-2358234.0,392061.0,,671461.0,142298.0,445447.0,-2022822.0,-2022822.0,-2022822.0,611281.0,,,,,,,
PaymentsOfDividends,,,,,,,,,,,,,1000000.0,1000000.0,2157.0,,2822.0,1000000.0,1000000.0,0.0,662.0,93500.0,0.0,177000.0,93500.0,140250.0,,0.0,,0.0,,0.0,0.0,0.0,7116000.0,1591000.0,1700000.0,537000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0
SharesIssuedToConvertConvertibleDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45000.0,,,,,,,,
AccountsPayableAccruedLiabilitiesAndAmountsDueToRelatedPartySettledWithIssuanceOfCommonStockAtEightPerShar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998230.0,1998230.0,0.0,,,,,,,,,
PaymentsMadeByShareholdersOnBehalfOfCompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7969.0,15697.0,7099.0,7969.0,3302.0,7099.0,,3302.0,
